year,lga_name,zone_type,hvi_min,hvi_mean,hvi_max,hvi_std
2015,Ibadan North-East,core_urban,0.3874332904815674,0.6174502168088501,0.7318084836006165,0.06193679340793673
2015,Ibadan North,core_urban,0.2737302780151367,0.5271043007529868,0.6874918341636658,0.07531740115909971
2015,Ibadan South-East,core_urban,0.22090919315814972,0.5255617278360231,0.6769184470176697,0.07320706916189496
2015,Ibadan South-West,core_urban,0.24850445985794067,0.4771431564458445,0.6767400503158569,0.07284306355250697
2015,Ibadan North-West,core_urban,0.19453012943267822,0.45872368582885614,0.6726732850074768,0.10025533832679517
2015,Egbeda,peri_urban,0.1004231870174408,0.2829112114316113,0.6648756861686707,0.12004542523521855
2015,Ido,peri_urban,0.09299428015947342,0.24642411717960613,0.5167291164398193,0.07263524473594556
2015,Akinyele,peri_urban,0.07261544466018677,0.23032360402262786,0.5980603694915771,0.09713088327930434
2015,Lagelu,peri_urban,0.08861297369003296,0.22757988636590495,0.6236559152603149,0.10723546361887706
2015,Ona Ara,peri_urban,0.061122190207242966,0.20630689365666277,0.634038507938385,0.11194232211115208
2015,Oluyole,peri_urban,0.10089746117591858,0.1972716896507898,0.5370055437088013,0.05701644243914927
