year,lga_name,zone_type,hvi_min,hvi_mean,hvi_max,hvi_std
2025,Ibadan North-East,core_urban,0.411445677280426,0.6700892815075635,0.7824674248695374,0.061703622302002645
2025,Ibadan South-East,core_urban,0.23391832411289215,0.5755085509243475,0.7296052575111389,0.07489061416412088
2025,Ibadan North,core_urban,0.2694815397262573,0.5750178781760054,0.7647270560264587,0.08253815868179973
2025,Ibadan South-West,core_urban,0.23480015993118286,0.5299254977771996,0.7253230810165405,0.07565273349619468
2025,Ibadan North-West,core_urban,0.18678855895996094,0.5012146785390766,0.7182369232177734,0.11281844350155788
2025,Egbeda,peri_urban,0.1031346395611763,0.3604516269653623,0.7294714450836182,0.11941305122377889
2025,Ido,peri_urban,0.06218810752034187,0.27964199678633633,0.5772206783294678,0.08785823483660903
2025,Lagelu,peri_urban,0.07698424160480499,0.2784208969948228,0.6880162954330444,0.1294996354335321
2025,Akinyele,peri_urban,0.0725024938583374,0.2778044401702102,0.6777660846710205,0.11283226501558048
2025,Ona Ara,peri_urban,0.053639382123947144,0.24293420678094757,0.6950168609619141,0.13928676511923063
2025,Oluyole,peri_urban,0.0890926867723465,0.23459985894118732,0.6003534197807312,0.07944352220039232
