year,class_code,label,pixel_count,area_km2,pct_area,mean_uhi_celsius,min_uhi_celsius,max_uhi_celsius
2023,1,Very Low,1217200,0.0,33.7,-1.61,-4.85,-0.0
2023,2,Low,720400,0.0,19.9,0.96,0.0,2.0
2023,3,Moderate,577992,0.0,16.0,2.97,2.0,4.0
2023,4,High,523041,0.0,14.5,4.99,4.0,6.0
2023,5,Very High,578574,0.0,16.0,7.35,6.0,14.88
