year,lga_name,zone_type,hvi_min,hvi_mean,hvi_max,hvi_std
2023,Ibadan North-East,core_urban,0.4426993131637573,0.6653241099922103,0.7709683179855347,0.05564511738860307
2023,Ibadan South-East,core_urban,0.25571367144584656,0.5756224961643368,0.7231190204620361,0.07077230447293337
2023,Ibadan North,core_urban,0.26918601989746094,0.5709891100874979,0.7326185703277588,0.07905232709795083
2023,Ibadan South-West,core_urban,0.26108741760253906,0.5187279328924641,0.7148990631103516,0.0718101583717081
2023,Ibadan North-West,core_urban,0.19942031800746918,0.49913941459205347,0.7009310126304626,0.10545836616825426
2023,Egbeda,peri_urban,0.1315087080001831,0.3720249512353706,0.7295525074005127,0.11477535501119186
2023,Ido,peri_urban,0.08343387395143509,0.30426540338642516,0.5901820063591003,0.08864173317978145
2023,Akinyele,peri_urban,0.07663954049348831,0.28965016207846606,0.6481522917747498,0.11020693813238724
2023,Lagelu,peri_urban,0.08070582151412964,0.2782428108405313,0.6779054999351501,0.12379906110388864
2023,Ona Ara,peri_urban,0.04724935442209244,0.24746184387201767,0.6880545020103455,0.1409583384234577
2023,Oluyole,peri_urban,0.0981634259223938,0.2392421885658117,0.5903225541114807,0.07814606643314878
