variable,estimate,std_error,t_value,p_value
const,38.59111943299395,0.09461318670481463,407.8830951270574,0.0
ndvi,-4.064828770831127,0.21621373069749683,-18.80004918151198,7.962492637210096e-78
ndbi,23.232052380499425,0.21322833298479626,108.95387144519829,0.0
built_up_density,0.0002339390626099351,1.0299675501716233e-05,22.71324592419964,4.780436516496428e-112
