year,lga_name,zone_type,lst_celsius_min,lst_celsius_mean,lst_celsius_max,lst_celsius_std
2023,Ibadan North-East,core_urban,36.9241943359375,40.597305633732034,43.790985107421875,0.8360718239553254
2023,Ibadan South-East,core_urban,32.72686767578125,39.98865401371368,42.789520263671875,1.2715792051577381
2023,Ibadan North,core_urban,30.617950439453125,39.3040131246845,42.645965576171875,1.602822080780913
2023,Ibadan South-West,core_urban,32.27569580078125,39.08768574085967,42.837371826171875,1.3558168428026744
2023,Ibadan North-West,core_urban,30.060821533203125,38.662556645353526,42.683563232421875,2.5037806939614473
2023,Egbeda,peri_urban,28.905517578125,37.20905193711266,46.081085205078125,2.8391541014955592
2023,Ido,peri_urban,28.850830078125,35.925011178839824,47.793487548828125,3.032832230497506
2023,Akinyele,peri_urban,28.064666748046875,34.55571880378777,43.045867919921875,3.142918812022442
2023,Lagelu,peri_urban,28.498779296875,34.45135065996458,43.039031982421875,3.3514137299249382
2023,Ona Ara,peri_urban,28.567138671875,33.30867364506577,44.56689453125,3.6641242817068203
2023,Oluyole,peri_urban,28.539794921875,33.24510802682945,44.70703125,2.502395592704165
