,lst,ndvi,ndbi,built_up_density
lst,1.0,-0.9164482664716997,0.9622225126760826,0.6011717311095728
ndvi,-0.9164482664716997,1.0,-0.9157886431886717,-0.775411403963222
ndbi,0.9622225126760826,-0.9157886431886717,1.0,0.5609769327789318
built_up_density,0.6011717311095728,-0.775411403963222,0.5609769327789318,1.0
