lga_name,hvi_mean
Ibadan North-East,0.6700892815075635
Ibadan South-East,0.5755085509243475
Ibadan North,0.5750178781760054
Ibadan South-West,0.5299254977771996
Ibadan North-West,0.5012146785390766
Egbeda,0.3604516269653623
Ido,0.27964199678633633
Lagelu,0.2784208969948228
Akinyele,0.2778044401702102
Ona Ara,0.24293420678094757
Oluyole,0.23459985894118732
