,lst,ndvi,ndbi,built_up_density
lst,1.0,-0.9191549782575607,0.9635798209921818,0.661975702001547
ndvi,-0.9191549782575607,1.0,-0.9333542648422755,-0.7940572670387913
ndbi,0.9635798209921818,-0.9333542648422755,1.0,0.6326204015018796
built_up_density,0.661975702001547,-0.7940572670387913,0.6326204015018796,1.0
