,lst,ndvi,ndbi,built_up_density
lst,1.0,-0.9395129548828627,0.9626147938931721,0.6989088214672783
ndvi,-0.9395129548828627,1.0,-0.9297832181121521,-0.8054461210347206
ndbi,0.9626147938931721,-0.9297832181121521,1.0,0.6257974999061677
built_up_density,0.6989088214672783,-0.8054461210347206,0.6257974999061677,1.0
