variable,estimate,std_error,t_value,p_value
const,31.98514709399024,0.08332288266123723,383.86990551000343,0.0
ndvi,-0.9291109012564434,0.25556847114163783,-3.635467618936154,0.0002785404804232292
ndbi,26.258334771294102,0.2155229120399482,121.83546762038458,0.0
built_up_density,0.00016103967408268895,9.087356667224022e-06,17.721289037055353,1.8552160407414738e-69
